"iso2c","country","year","Rep_GFDD.DI.01","Rep_GFDD.DI.02","Rep_GFDD.DI.03","Rep_GFDD.DI.04","Rep_GFDD.DI.05","Rep_GFDD.DI.06","Rep_GFDD.DI.07","Rep_GFDD.DI.08","Rep_GFDD.DI.11","Rep_GFDD.DI.12","Rep_GFDD.DI.13","Rep_GFDD.DI.14","Rep_GFDD.EI.08","Rep_GFDD.OI.02","Rep_GFDD.SI.02","Rep_GFDD.SI.03","Rep_GFDD.SI.04","Rep_GFDD.SI.05","Rep_GFDD.SI.07"
"CN","China",1999,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0
"CN","China",2000,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
"CN","China",2001,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
"CN","China",2002,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
"CN","China",2003,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
"CN","China",2004,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
"CN","China",2005,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"CN","China",2006,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"CN","China",2007,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"CN","China",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CN","China",2009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CN","China",2010,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"CN","China",2011,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"CO","Colombia",1998,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",1999,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2000,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"CO","Colombia",2001,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2002,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2003,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2004,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",1998,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",1999,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",2000,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",2001,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2010,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2011,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",1998,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
"CZ","Czech Republic",1999,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2000,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2001,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
