"country","iso2c","quarter","bond_yld_datastream","bond_yld_datastream_details"
"Australia","AU",1977.2,10.41,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1977.3,10.33,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1977.4,9.77,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1978.1,9.25,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1978.2,9.12,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1978.3,9.03,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1978.4,8.83,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1979.1,9.07,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1979.2,9.78,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1979.3,10.07,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1979.4,10.08,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1980.1,10.73,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1980.2,11.76,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1980.3,11.79,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1980.4,12.31,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1981.1,13.1,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1981.2,13.1,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1981.3,14.63,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1981.4,15,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1982.1,15.08,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1982.2,16,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1982.3,16.03,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1982.4,14.38,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1983.1,13.67,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1983.2,13.97,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1983.3,14.55,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1983.4,13.37,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1984.1,13.87,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1984.2,13.93,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
"Australia","AU",1984.3,13.02,"AU COMMONWEALTH GOVERNMENT BOND YIELD 10 YEAR (EP)"
