"country","iso2c","date","bid_ask_local_spread_bloomberg","bid_ask_usd_spread_bloomberg","bond_spread_local_US_10yr_bloomberg","bond_spread_usd_US_10yr_bloomberg","bond_spread_local_DE_10yr_bloomberg","bond_spread_usd_DE_10yr_bloomberg","bond_spread_local_JP_10yr_bloomberg","bond_spread_usd_JP_10yr_bloomberg","bond_spread_local_UK_10yr_bloomberg","bond_spread_usd_UK_10yr_bloomberg"
"China","CN","2011-09-02",0.056,,204.3367,,202.8029,,300.503,,159.5005,
"China","CN","2011-09-09",0.0600000000000005,,209.686,,224.5923,,301.271,,175.8191,
"China","CN","2011-09-16",0.0649999999999995,,198.3168,,216.9823,,301.978,,154.9197,
"China","CN","2011-09-23",0.0919999999999996,,209.2859,,218.1043,,294.094,,156.3257,
"China","CN","2011-09-30",0.0609999999999999,,193.3104,,196.3021,,281.826,,142.0678,
"China","CN","2011-10-14",0.0789999999999997,,149.4374,,154.4915,,272.488,,113.731,
"China","CN","2011-10-21",0.0719999999999996,,148.2993,,159.8475,,269.403,,117.3447,
"China","CN","2011-10-28",0.0659999999999998,,143.8213,,158.0484,,271.36,,115.0405,
"China","CN","2011-11-04",0.0549999999999997,,165.7958,,186.9063,,269.947,,138.4734,
"China","CN","2011-11-11",0.0819999999999999,,150.2284,,167.3649,,259.034,,127.2517,
"China","CN","2011-11-18",0.0670000000000002,,159.7269,,164.2807,,266.04,,135.6046,
"China","CN","2011-11-25",0.0600000000000001,,161.3526,,131.6458,,255.167,,128.976,
"China","CN","2011-12-02",0.0680000000000001,,140.3808,,130.3689,,236.862,,114.8965,
"China","CN","2011-12-09",0.0569999999999999,,138.0923,,129.5201,,242.281,,128.3662,
"China","CN","2011-12-16",0.0699999999999998,,158.9381,,158.6385,,245.25,,139.5191,
"China","CN","2011-12-23",0.0530000000000004,,141.8369,,148.437,,246.655,,140.6974,
"China","CN","2011-12-30",0.0590000000000002,,151.3415,,156.2786,,240.334,,141.4077,
"China","CN","2012-01-06",0.0670000000000002,,140.3501,,150.9086,,238.2082,,134.5681,
"China","CN","2012-01-13",0.056,,151.4642,,161.4926,,243.2961,,141.1317,
"China","CN","2012-01-20",0.0680000000000001,,132.1622,,141.8747,,236.0953,,123.3621,
"China","CN","2012-02-03",0.0470000000000002,,148.4501,,147.5804,,245.9613,,123.0291,
"China","CN","2012-02-10",0.0570000000000004,,151.4011,,159.4881,,252.2898,,139.0363,
"China","CN","2012-02-17",0.0589999999999997,,149.994,,157.869,,255.439,,131.8375,
"China","CN","2012-02-24",0.052,,151.3602,,160.7251,,251.3014,,142.157,
"China","CN","2012-03-02",0.0960000000000001,,151.1624,,168.7673,,251.8243,,134.9488,
"China","CN","2012-03-09",0.0800000000000001,,146.276,,169.8157,,250.1367,,133.8142,
"China","CN","2012-03-16",0.0620000000000003,,122.129,,146.6686,,246.9109,,107.2031,
"China","CN","2012-03-23",0.073,,126.7249,,163.5233,,247.2718,,122.6322,
"China","CN","2012-03-30",0.0659999999999998,,125.9809,,167.8552,,248.3184,,126.8503,
"China","CN","2012-04-06",0.0549999999999997,,144.6956,,176.7883,,250.9174,,134.6189,
"China","CN","2012-04-13",0.073,,151.5704,,176.4768,,255.2766,,145.8322,
